name,gender,age,status,penalty,time,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
Lupus Extreme,men,veteran,,0,23:51:28,325,141,FIN,Snellman,Janne,FIN,Talvisilta,Mika,,,,,,
GreenLightRight,mixed,open,,0,23:52:00,325,201,RUS,Menshova,Ekaterina,RUS,Pikuz,Sergey,,,,,,
Lieliskie,men,veteran,,0,23:58:15,325,76,LAT,Grinvalds,Ainars,LAT,Meiers,Harijs,,,,,,
Izturība,men,veteran,,0,23:04:08,324,144,LAT,Bremze,Edgars,LAT,Opolais,Intars,,,,,,
MariSiim,mixed,open,,0,23:05:15,314,14,EST,Palopääl,Maris,EST,Valgeväli,Siim,,,,,,
Tartu Suusaklubi,men,youth,,0,23:46:37,314,180,EST,Rõõm,Andres,EST,Soeson,Marten,,,,,,
Belarus Rogaining Team,men,open,,0,23:04:19,312,194,BLR,Krapivko,Dmitry,BLR,Kulesh,Pavel,,,,,,
Sever-enduro,women,open,,0,23:38:00,312,77,UKR,Cheberakha,Olha,UKR,Dotsenko,Olena,,,,,,
Spordilinn,men,superveteran,,0,23:56:54,308,198,EST,Pukkonen,Eduard,EST,Väärsi,Jaak,,,,,,
Virmalised,mixed,veteran,,0,23:46:31,307,211,EST,Rämmann,Andrus,EST,Rämmann,Anneli,,,,,,
Rakvere OK,men,superveteran,,0,23:53:52,307,98,EST,Pritsik,Aleksander,EST,Rohtsalu,Jaak,,,,,,
Tipp ja Täpp,women,superveteran,,0,23:51:08,305,122,EST,Alnek,Airi,EST,Viirmann,Marje,,,,,,
Põrgupõhja,mixed,youth,,0,22:46:08,304,242,EST,Ploompuu,Brita,EST,Pritsik,Sander,EST,Viirmann,Jaan,,,
TEMPO,men,open,,0,23:34:05,301,106,EST,Kais,Ülari,EST,Siimsaare,Tarmo,,,,,,
B3,mixed,veteran,,0,23:48:31,300,30,LAT,Godina,Ieva,LAT,Godins,Martins,,,,,,
Ciku Caku,mixed,veteran,,0,23:49:48,299,39,LAT,Gruberte,Zane,LAT,Žilinskis,Guntars,,,,,,
Ziepniekkalna kedas,mixed,open,,0,23:45:07,297,71,LAT,Inka,Uģis,LAT,Tora,Aiga,,,,,,
FENIX,mixed,open,,0,23:58:40,296,91,UKR,Fecho,George,UKR,Hudelaitis,Anna,,,,,,
Līvāni,mixed,superveteran,,0,23:46:56,294,231,LAT,Jurāne,Gundega,LAT,Peisenieks,Varis,,,,,,
Compressport,mixed,veteran,,0,23:48:46,293,81,EST,Kaljumäe,Aivo,EST,Proosväli,Laidy,,,,,,
Unstoppable team,mixed,youth,,0,23:35:33,292,63,UKR,Petrovych,Vadym,UKR,Telipko,Marharyta,,,,,,
Turun Metsänkävijät,men,superveteran,,0,23:36:06,292,210,FIN,Karppinen,Juha,FIN,Lainema,Timo,,,,,,
Forest,men,superveteran,,0,23:49:59,292,140,EST,Kaljur,Maido,EST,Tali,Tiit,,,,,,
KARVAJALAD,men,veteran,,0,23:50:59,291,202,EST,Khalyapin,Alexander,EST,Lehtla,Reigo,,,,,,
Töllerdised Roheliselt Saturnilt,men,open,,0,23:39:28,290,116,EST,Peetrimägi,Siim,EST,Vask,Alan,,,,,,
Bukovyna Juniors,men,youth,,0,23:53:33,288,78,UKR,Andrusiak,Andrii,UKR,Balovsiak,Volodymyr,,,,,,
I&J,men,veteran,,0,23:05:33,287,176,EST,Lepp,Joe,EST,Roos,Indrek,,,,,,
TEAM BRAVO,men,open,,0,23:05:33,287,206,EST,Roos,Jaanus,EST,Roos,Kristjan,,,,,,
MONA XXL,mixed,superveteran,,0,23:39:19,287,247,LAT,Nagelis,Janis,LAT,Zarina,Liga,,,,,,
Aiva un Ildze,women,veteran,,0,23:44:17,287,82,LAT,Jakovela,Aiva,LAT,Straume,Ildze,,,,,,
UZHHOROD–BUKOVYNA JUNIORS,men,youth,,0,23:48:54,285,225,UKR,Hreshnov,Oleksandr,UKR,Pepryk,Oleh,UKR,Zhelizniak,Oleksandr,,,
Klajūnas Ladies,women,veteran,,0,23:44:27,284,186,LTU,Kanapkienė,Živilė,LTU,Žvinytė,Inga,,,,,,
CAR,men,open,,0,23:58:04,283,47,BLR,Kozich,Andrei,BLR,Tsiak,Aliaksandr,,,,,,
Slapjie pumpuri,men,veteran,,0,23:11:31,279,145,LAT,Čeksters,Aigars,LAT,Frišfelds,Vilnis,,,,,,
Ukrainian superwomen,women,open,,0,23:34:34,277,37,UKR,Basiuk,Anastasia,UKR,Tyshchenko,Natalia,,,,,,
Rändajad,women,veteran,,0,23:22:58,276,182,EST,Himma,Evelyn,EST,Mets,Merike,,,,,,
"""""@@""""",women,veteran,,0,23:38:36,276,5,UKR,Kapara,Olena,UKR,Pikhovkina,Polina,,,,,,
Smeshariki,mixed,open,,0,23:31:04,273,195,UKR,Babych,Olena,UKR,Odnokoz,Kyryl,,,,,,
TDK Saansoliitis,men,veteran,,0,23:31:43,271,25,LAT,Sadris,Edgars,LAT,Tamuzs,Kristaps,,,,,,
